# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.869221,33.410645,276.594572,295.125906,0.5282651943,7.6970159763,316.19,0.00
26.978745,34.002991,262.664468,297.977346,0.2641754794,8.1617115305,309.13,294.26
26.483780,33.458801,275.179534,295.528787,0.4069581734,5.0003775920,317.46,0.00
26.322498,34.322632,263.090634,298.204204,0.2644533768,7.8684967493,308.04,294.13
26.326454,33.988525,268.328772,297.649839,0.4817086541,7.5735228795,319.62,0.00
26.327114,33.684509,271.939667,296.594725,0.4050419444,4.3545298515,318.67,0.00
26.383976,33.356384,274.387170,296.192953,0.4079714275,5.7924295708,318.94,0.00
26.580215,33.895996,268.392596,297.675188,0.4504836854,6.6370415525,318.72,0.00
27.036015,33.673706,270.660007,297.529698,0.5138522800,7.8213045804,318.90,0.00
26.412918,33.937622,269.317096,296.693912,0.4200412269,6.7463767104,317.04,0.00
26.345058,34.081909,267.801799,297.902103,0.4404919600,7.1995851363,318.35,0.00
26.246193,33.675323,272.919685,296.046929,0.4178959057,4.7362930841,317.61,0.00
26.973167,34.063416,262.452432,298.085861,0.2858036988,8.4827718461,311.87,294.26
26.481052,33.488953,274.593894,295.559634,0.4035998736,5.1643358192,317.64,0.00
26.253868,33.888977,270.952400,297.369046,0.4210756577,6.2535624820,318.72,0.00
26.432259,33.726868,271.216408,297.610264,0.4940981607,7.2295645605,318.72,0.00
26.487091,34.311493,262.941840,298.281893,0.2925813461,8.3893158129,307.57,294.19
26.961967,34.184235,261.971874,298.127021,0.2937511952,8.6244059295,307.62,294.25
26.761440,33.398560,274.895049,295.680244,0.4705254341,6.5871545919,317.58,0.00
26.614613,34.113190,263.284527,298.294260,0.2976635300,8.3774481700,307.72,294.17
26.445942,33.576263,273.344112,295.755739,0.4375989675,5.6894673998,317.71,0.00
26.788147,33.706451,271.741483,297.905368,0.6542829958,9.5053840756,318.37,0.00
26.782982,33.461975,275.474130,295.232410,0.4648104675,6.4946392778,317.06,0.00
26.899651,34.268494,261.886646,298.182215,0.2987534451,8.6961584630,310.83,294.26
27.000088,34.066528,262.303688,298.078822,0.2840816905,8.4603683300,309.52,294.26
26.810413,34.349548,261.887327,298.207441,0.3010697075,8.7191756559,307.25,294.33
26.693569,33.848083,269.700345,296.949609,0.4954885327,7.1705664450,317.12,0.00
26.922825,33.721832,269.941583,297.467600,0.4525568046,6.6881678345,317.71,0.00
26.629200,33.657898,272.467484,296.150652,0.4671217587,6.3794541832,317.64,0.00
27.008446,33.975891,262.660883,297.884214,0.2568204954,7.9870921887,309.14,294.30
26.955425,33.359314,277.278013,292.953801,0.4663847191,6.8728036034,314.15,0.00
26.839283,33.742798,272.720018,295.742977,0.6166727732,9.4425607776,314.91,0.00
26.406231,34.302002,263.097049,298.257387,0.2771102153,8.1022819979,307.45,294.15
26.741920,33.914581,266.870609,298.691377,0.5818032566,8.5510288082,317.97,0.00
26.321625,33.744690,271.757663,296.243210,0.4129590351,4.7116113696,317.74,0.00
26.229668,33.855804,271.235333,297.134486,0.4501019593,6.7559532834,318.11,0.00
26.529083,33.859650,269.581464,296.791626,0.3851905451,5.7326096336,318.12,0.00
27.025414,33.489288,275.651694,292.385333,0.4235601541,5.2860448836,312.46,0.00
26.836544,33.772980,271.886228,296.610206,0.6286655430,9.3979367506,315.60,0.00
27.006577,33.395569,276.738352,293.860354,0.5023471102,7.6661768715,313.46,0.00
26.849667,33.927002,268.268734,298.643421,0.5415960045,8.6293868710,317.24,0.00
